,password,name,view,saved_for_later,added_to_cart,bought,review,like
user1,12345,Olivia Bennett,"['prod34', 'prod85', 'prod28', 'prod74', 'prod79', 'prod18', 'prod52', 'prod10', 'prod14', 'prod32', 'prod59', 'prod46', 'prod16', 'prod43', 'prod56', 'prod9', 'prod66', 'prod78', 'prod33', 'prod87', 'prod77', 'prod42', 'prod57', 'prod68', 'prod80', 'prod96', 'prod98', 'prod49', 'prod65', 'prod12', 'prod2', 'prod23', 'prod27', 'prod69', 'prod60', 'prod50', 'prod8', 'prod48']","['prod51', 'prod43', 'prod62', 'prod15', 'prod52', 'prod47', 'prod98', 'prod57', 'prod67', 'prod29']","['prod3', 'prod22', 'prod54', 'prod43', 'prod62', 'prod19', 'prod44', 'prod36', 'prod14']","['prod19', 'prod15']","{'prod19': 2, 'prod15': 3}","['prod38', 'prod87', 'prod8', 'prod83', 'prod37', 'prod68', 'prod28', 'prod61', 'prod52', 'prod95']"
user2,12345,Liam Carter,"['prod33', 'prod95', 'prod90', 'prod23', 'prod60', 'prod78', 'prod20', 'prod45', 'prod8', 'prod36', 'prod25', 'prod29', 'prod100', 'prod44', 'prod69', 'prod52', 'prod98', 'prod37', 'prod32', 'prod39', 'prod59', 'prod61', 'prod92', 'prod6', 'prod65', 'prod35', 'prod38', 'prod88', 'prod40', 'prod75', 'prod81', 'prod2', 'prod10', 'prod96', 'prod15']","['prod67', 'prod6', 'prod20', 'prod38', 'prod85']","['prod51', 'prod72']","['prod60', 'prod13', 'prod48', 'prod99', 'prod29', 'prod78', 'prod80', 'prod3', 'prod92', 'prod55', 'prod72', 'prod34', 'prod17', 'prod100', 'prod70']","{'prod72': 3, 'prod80': 5, 'prod99': 4, 'prod70': 4, 'prod78': 3, 'prod17': 4, 'prod48': 5, 'prod100': 4}","['prod51', 'prod5', 'prod23', 'prod64', 'prod56', 'prod30', 'prod84', 'prod40', 'prod67', 'prod48']"
user3,12345,Sophia Anderson,"['prod12', 'prod53', 'prod31', 'prod24', 'prod30']","['prod75', 'prod41', 'prod61', 'prod87', 'prod99', 'prod64', 'prod7']","['prod27', 'prod45', 'prod50', 'prod59', 'prod26', 'prod81', 'prod46', 'prod60', 'prod99', 'prod12']","['prod60', 'prod11', 'prod75', 'prod38', 'prod63', 'prod6', 'prod74', 'prod89']","{'prod11': 4, 'prod89': 2}","['prod93', 'prod18', 'prod75', 'prod6', 'prod10', 'prod33', 'prod96', 'prod43', 'prod39', 'prod97', 'prod1', 'prod27', 'prod26', 'prod35', 'prod12', 'prod21', 'prod84', 'prod90']"
user4,12345,Noah Patel,"['prod22', 'prod9', 'prod34', 'prod69', 'prod68', 'prod62', 'prod40', 'prod87', 'prod41', 'prod2', 'prod71', 'prod42', 'prod3', 'prod78', 'prod5', 'prod52', 'prod12', 'prod28', 'prod73', 'prod35', 'prod90', 'prod15', 'prod89', 'prod51', 'prod19', 'prod84', 'prod6', 'prod16', 'prod97']","['prod3', 'prod10', 'prod100']","['prod89', 'prod3', 'prod61', 'prod92', 'prod53', 'prod81']","['prod23', 'prod100', 'prod77', 'prod69', 'prod67', 'prod46', 'prod4', 'prod17', 'prod26', 'prod97', 'prod37', 'prod12', 'prod94']","{'prod97': 3, 'prod94': 4, 'prod17': 2}","['prod5', 'prod80', 'prod20', 'prod93', 'prod46', 'prod31', 'prod38', 'prod99', 'prod61', 'prod83', 'prod22', 'prod21', 'prod28', 'prod56', 'prod39', 'prod15', 'prod53', 'prod89']"
user5,12345,Ava Johnson,"['prod29', 'prod13', 'prod18', 'prod69', 'prod62', 'prod83', 'prod20', 'prod96', 'prod3', 'prod77', 'prod34', 'prod64', 'prod73', 'prod21', 'prod63', 'prod89', 'prod97', 'prod53', 'prod11', 'prod6', 'prod94', 'prod67', 'prod27', 'prod39', 'prod66', 'prod12', 'prod1', 'prod60', 'prod4', 'prod56', 'prod76', 'prod86', 'prod92', 'prod65', 'prod2', 'prod7', 'prod52', 'prod15', 'prod40', 'prod85', 'prod45', 'prod47', 'prod98', 'prod91', 'prod100', 'prod84', 'prod68', 'prod25', 'prod75', 'prod36']","['prod62', 'prod64', 'prod85', 'prod87', 'prod4', 'prod68', 'prod55', 'prod7', 'prod52']","['prod82', 'prod1', 'prod50', 'prod84', 'prod91', 'prod36', 'prod17', 'prod63', 'prod18', 'prod10']","['prod18', 'prod83', 'prod78', 'prod52', 'prod30', 'prod62', 'prod38', 'prod53', 'prod16', 'prod9', 'prod46', 'prod68', 'prod93', 'prod56', 'prod15']","{'prod18': 4, 'prod83': 3, 'prod52': 3, 'prod53': 2, 'prod30': 2, 'prod9': 3, 'prod46': 2, 'prod78': 2}","['prod75', 'prod4', 'prod18', 'prod79', 'prod97', 'prod19', 'prod10', 'prod37', 'prod90', 'prod100', 'prod91', 'prod96', 'prod13', 'prod66', 'prod59', 'prod55', 'prod9', 'prod24', 'prod45', 'prod83', 'prod43', 'prod74', 'prod99', 'prod44', 'prod67', 'prod25', 'prod42']"
user6,12345,Ethan Martinez,"['prod71', 'prod5', 'prod6', 'prod56', 'prod23', 'prod66', 'prod85', 'prod94', 'prod65', 'prod62', 'prod54', 'prod15', 'prod34', 'prod68', 'prod95', 'prod57', 'prod69', 'prod76', 'prod16', 'prod22', 'prod8', 'prod99', 'prod28', 'prod92', 'prod61', 'prod47', 'prod60', 'prod87', 'prod82', 'prod38', 'prod24', 'prod9', 'prod42', 'prod97', 'prod49']",['prod8'],[],"['prod8', 'prod35']","{'prod35': 4, 'prod8': 5}","['prod42', 'prod92', 'prod83', 'prod24', 'prod32', 'prod76', 'prod45', 'prod87', 'prod20', 'prod43', 'prod54', 'prod47', 'prod6', 'prod98', 'prod22', 'prod100', 'prod33', 'prod74', 'prod7', 'prod9']"
user7,12345,Isabella Thompson,"['prod42', 'prod27', 'prod9', 'prod36', 'prod97', 'prod5', 'prod39', 'prod1']","['prod74', 'prod1', 'prod99', 'prod48', 'prod60', 'prod96', 'prod90', 'prod76', 'prod71']","['prod20', 'prod50', 'prod99', 'prod63', 'prod88', 'prod39']","['prod37', 'prod53', 'prod44', 'prod65', 'prod33', 'prod4', 'prod31']","{'prod65': 5, 'prod4': 4, 'prod44': 1, 'prod31': 3, 'prod33': 1, 'prod37': 2}","['prod4', 'prod20', 'prod19', 'prod94', 'prod18', 'prod46', 'prod3', 'prod57', 'prod77', 'prod99', 'prod52', 'prod49', 'prod67', 'prod93', 'prod86', 'prod78', 'prod61', 'prod85', 'prod70', 'prod87', 'prod53', 'prod48', 'prod14', 'prod21', 'prod68', 'prod32', 'prod56', 'prod38', 'prod27', 'prod40', 'prod82', 'prod34']"
user8,12345,Aiden Davis,"['prod19', 'prod23', 'prod86', 'prod28', 'prod72', 'prod47', 'prod44', 'prod82', 'prod15', 'prod42', 'prod55', 'prod59', 'prod65', 'prod80', 'prod96']","['prod71', 'prod22', 'prod89', 'prod82', 'prod51', 'prod62', 'prod56']","['prod94', 'prod13']","['prod74', 'prod71', 'prod78', 'prod88', 'prod33', 'prod20']","{'prod78': 3, 'prod74': 4, 'prod20': 3, 'prod88': 4}","['prod33', 'prod26', 'prod65', 'prod14', 'prod11', 'prod35', 'prod25', 'prod78', 'prod32', 'prod5', 'prod6', 'prod17', 'prod39', 'prod54', 'prod84', 'prod13', 'prod82', 'prod41', 'prod47', 'prod19', 'prod62', 'prod38', 'prod53', 'prod63', 'prod30', 'prod1', 'prod31', 'prod12']"
user9,12345,Mia Walker,"['prod99', 'prod74', 'prod57', 'prod50', 'prod2', 'prod24', 'prod35', 'prod16', 'prod18', 'prod11', 'prod3', 'prod36', 'prod60', 'prod5', 'prod49', 'prod95', 'prod46', 'prod10', 'prod87', 'prod59', 'prod12', 'prod55', 'prod13', 'prod27', 'prod41', 'prod80', 'prod1', 'prod17', 'prod96', 'prod86', 'prod91', 'prod72', 'prod40', 'prod66', 'prod94', 'prod7', 'prod31', 'prod93', 'prod26', 'prod56', 'prod32', 'prod62', 'prod43', 'prod6', 'prod23', 'prod19', 'prod52', 'prod85', 'prod25']","['prod27', 'prod28', 'prod42', 'prod67', 'prod11', 'prod6', 'prod90', 'prod21', 'prod92']","['prod59', 'prod17', 'prod30', 'prod28', 'prod23', 'prod81', 'prod7', 'prod87', 'prod95', 'prod65']","['prod98', 'prod93', 'prod28', 'prod58', 'prod59', 'prod61', 'prod37']","{'prod98': 1, 'prod58': 1, 'prod93': 4, 'prod61': 5, 'prod28': 2, 'prod59': 3, 'prod37': 1}","['prod44', 'prod32', 'prod77', 'prod43', 'prod78', 'prod82', 'prod62', 'prod91', 'prod79', 'prod27', 'prod7', 'prod28', 'prod49', 'prod40', 'prod35', 'prod39', 'prod19', 'prod100', 'prod73', 'prod36', 'prod41', 'prod92', 'prod5', 'prod94', 'prod71', 'prod65', 'prod74', 'prod30', 'prod98', 'prod85', 'prod46', 'prod55', 'prod33', 'prod89', 'prod95', 'prod23', 'prod99', 'prod56', 'prod93', 'prod29']"
user10,12345,Jackson Wright,"['prod41', 'prod23', 'prod58', 'prod34']","['prod50', 'prod28', 'prod47', 'prod91', 'prod46', 'prod17', 'prod78', 'prod68']","['prod100', 'prod82', 'prod34', 'prod85']","['prod65', 'prod21', 'prod72', 'prod68', 'prod42', 'prod7', 'prod2', 'prod35', 'prod93', 'prod75', 'prod87', 'prod44', 'prod90', 'prod57']","{'prod93': 2, 'prod2': 5, 'prod65': 4, 'prod75': 4, 'prod7': 4, 'prod35': 3, 'prod68': 4, 'prod87': 1, 'prod42': 4, 'prod57': 3, 'prod90': 5, 'prod21': 3}","['prod30', 'prod32', 'prod45', 'prod56', 'prod89', 'prod86', 'prod3', 'prod16', 'prod5', 'prod60', 'prod14', 'prod72', 'prod55', 'prod77', 'prod76', 'prod58', 'prod71', 'prod1', 'prod18', 'prod8', 'prod80', 'prod92', 'prod75', 'prod68', 'prod23', 'prod15', 'prod24', 'prod36', 'prod88', 'prod79']"
